,new_region,date,nombre_de_trains_programmes,nombre_de_trains_ayant_circule,nombre_de_trains_annules,nombre_de_trains_en_retard_a_l_arrivee,taux_de_regularite,nombre_de_trains_a_l_heure_pour_un_train_en_retard_a_l_arrivee,annee,mois
540,Occitanie,2014-03-01,12600.0,12334.0,266.0,1054.0,91.45451597210962,10.702087286527513,2014,3
606,Pays de la Loire,2014-03-01,10291.0,10058.0,233.0,629.0,93.74627162457745,14.990461049284578,2014,3
280,Grand Est,2014-03-01,25553.0,25189.0,364.0,836.0,96.68109095239986,29.130382775119617,2014,3
388,Normandie,2014-03-01,9143.0,9047.0,96.0,370.0,95.91024649054935,23.451351351351352,2014,3
328,Hauts-de-France,2014-03-01,30159.0,29680.0,479.0,1857.0,93.74326145552561,14.98276790522348,2014,3
448,Nouvelle Aquitaine,2014-03-01,16240.0,16018.0,222.0,1203.0,92.48969908852541,12.315045719035744,2014,3
134,Bretagne,2014-03-01,8383.0,8337.0,46.0,209.0,97.49310303466474,38.889952153110045,2014,3
725,Provence-Alpes-Côte d'Azur,2014-03-01,13338.0,12790.0,548.0,1903.0,85.12118842845973,5.720966894377299,2014,3
726,Provence-Alpes-Côte d'Azur,2014-04-01,13459.0,12957.0,502.0,2413.0,81.37686192791541,4.369664318276005,2014,4
75,Bourgogne-Franche-Comté,2014-04-01,13173.0,13077.0,96.0,964.0,92.62827865718437,12.565352697095436,2014,4
389,Normandie,2014-04-01,8944.0,8883.0,61.0,380.0,95.7221659349319,22.376315789473683,2014,4
607,Pays de la Loire,2014-04-01,10173.0,10083.0,90.0,637.0,93.6824357830011,14.828885400313972,2014,4
135,Bretagne,2014-04-01,8114.0,8061.0,53.0,346.0,95.70772856965637,22.297687861271676,2014,4
541,Occitanie,2014-04-01,13136.0,12973.0,163.0,1009.0,92.22230787019194,11.857284440039644,2014,4
329,Hauts-de-France,2014-04-01,30120.0,29016.0,199.0,1528.0,94.73393989523022,17.98952879581152,2014,4
15,Auvergne-Rhône-Alpes,2014-04-01,32155.0,31519.0,636.0,2878.0,90.86899965100416,9.95170257123002,2014,4
281,Grand Est,2014-04-01,24391.0,24223.0,168.0,728.0,96.99459191677332,32.27335164835165,2014,4
449,Nouvelle Aquitaine,2014-04-01,15910.0,15713.0,197.0,967.0,93.84586011582766,15.249224405377456,2014,4
727,Provence-Alpes-Côte d'Azur,2014-05-01,13947.0,13546.0,401.0,2056.0,84.8220877011664,5.58852140077821,2014,5
136,Bretagne,2014-05-01,8330.0,8270.0,60.0,350.0,95.76783555018137,22.62857142857143,2014,5
