,User,Tweet,timeTweet,source,retweet
174,bader_diane,"@PoliceNationale @SNCF @GardeNatFR Très belles missions de vie ! Bonne continuation à vous, tant sur les rails qu’en tant que force de l’ordre ! 💙🍀",2022-12-16 10:21:19+00:00,Twitter for iPhone,0
175,dochhka,@ejilsle2eme @SNCF @SNCFConnect @GroupeSNCF comment t’as fais dcp ? T’as réussis à quand même rentrer dans la salle ?,2022-12-16 10:19:27+00:00,Twitter for iPhone,0
176,Jaderies_,@SNCF @yannthompson “Au plus tard la veille” mais la plupart des trains sont complets et on va se retrouver avec aucune autre possibilité si vous tardez… C’est pas possible de mépriser autant les usagers avant les fêtes en plus. Il n’y a jamais aucune trêve  à la SNCF…?,2022-12-16 10:18:46+00:00,Twitter Web App,0
177,Corleonys,@SNCFConnect @SNCF @GroupeSNCF faut me répondre là j’ai besoin d’un billet avant demain 4h du matin svp.,2022-12-16 10:18:33+00:00,Twitter for iPhone,0
178,lio_red,"A la @SNCF c'est le bordel
A la @RATP c'est le bordel

Quelque chose me dit que je vais avoir du mal à faire ma virée parisienne pour voir les expos Monet/Mitchell...Rosa Bonheur...Lüpertz....les choses.... https://t.co/1JLK24GzIV",2022-12-16 10:17:04+00:00,Twitter for Android,0
179,Corleonys,"@SNCFConnect @GroupeSNCF @SNCF franchement je veux bien essayer de faire l’effort de vous respecter, bla-bla-bla grève utile et importante blabla, mais comme d’hab vous faites chier uniquement ceux qui n’ont pas d’argent ptdr, pourquoi?? Bloquez les classes business jsp",2022-12-16 10:17:00+00:00,Twitter for iPhone,0
180,Santa_SecrduBat,RT @AvocatMORTIER: 🆘 Appel à la magie de Twitter 🙏 et @SNCF @GroupeSNCF  Mon mari est redescendu du TGV #Montpellier-#Metz départ 13h58 en…,2022-12-16 10:13:51+00:00,Twitter for Android,14
181,kutmhosila,- La @SNCF c'est 20min de retard et ma place déjà occupée par quelqu'un 🙃,2022-12-16 10:13:27+00:00,Twitter for Android,0
182,grosloir,⁦@SNCF⁩ ⁦@sncfMonAmour⁩ ⁦@lio_train_sncf⁩ ça continue ! Tous les Ter rodez Brive supprimés samedi !!! https://t.co/1kuSTPOSZf,2022-12-16 10:12:35+00:00,Twitter for iPhone,0
183,KazhigRuz,@SNCF pourriez vous me donner le site sur lequel faire la demande de remboursement pour mon tgv inouï annulé pour cause de grève svp ?,2022-12-16 10:11:22+00:00,Twitter for Android,0
184,St_Cycliste,"RT @jeunecingle: @SNCFsebastien @TGVINOUI @garesaintjean @SNCF @CdBIsaac Hahaha l’hypocrisie, non arrêtez mdrr vous êtes là pour mettre les…",2022-12-16 10:10:46+00:00,Twitter for iPhone,1
185,aero_ned,Ça vous plaît les enculés de chez la @SNCF d'augmenter les tarifs à Noël et de faire grève sans proposer de solution aux gens ? Parce que vos agents au telephone non aucune réponse. Vous êtes la pire entreprise de France et une bande d'escroc. Vivement la concurrence. https://t.co/wW43vuG1pb,2022-12-16 10:09:59+00:00,Twitter for Android,0
186,ejilsle2eme,@dochhka @SNCF @SNCFConnect @GroupeSNCF Non y a pas de calme qu'ils aillent se faire enculer,2022-12-16 10:09:51+00:00,Twitter for Android,0
187,benvinc,"@LaurentBenjam19 @BB27000 @Intercites @SNCF @SNCFConnect 
L’A/R Paris Limoges en train est un vrai défi pour l’usager ! https://t.co/wu3MATpxq8",2022-12-16 10:09:13+00:00,Twitter for iPhone,0
188,dochhka,@ejilsle2eme @SNCF @SNCFConnect @GroupeSNCF https://t.co/qWloFiSG7P,2022-12-16 10:07:37+00:00,Twitter for iPhone,0
189,herebycm,"La @SNCF : 
- annule ton tgv 
- ne te laisse pas échanger ton billet sur leur site ou app sans appeler un numéro surtaxé depuis l'étranger 
- aucun conseiller disponible, merci de rappeler et de continuer de payer plus tard

🤡🤡🤡",2022-12-16 10:06:58+00:00,Twitter for Android,0
